# 19 PPTX files extracted (31 total in source zip - 12 PDF duplicates skipped)
# Source: /Users/charleymm/Desktop/Participation Presentations-20260205T145736Z-1-001.zip
filename,client,category,year,type,notes
"-196_JL Final meeting 6_15.pptx","196","Beverage","2024","presentation","Campaign final meeting"
"Adidas_Climacool Social Brief SS26 8.22.25_.pptx","Adidas","Footwear/Apparel","2025","social_brief","Climacool SS26 social toolkit"
"Adidas_FW20 ZX __ R2 Creative Pres __ 03.05.20_EXT  (1).pptx","Adidas","Footwear","2020","creative_presentation","ZX R2 creative presentation"
"Google_DEMOSLAM_PLATFORM_082410.pptx","Google","Technology","2024","platform","Demo Slam platform concept"
"Google_SPARKLE_REBRIEF_071111.pptx","Google","Technology","2024","rebrief","Sparkle rebrief"
"Google_SPARKLE_REBRIEF_ROLLOUT_071511.pptx","Google","Technology","2024","rollout","Sparkle rollout plan"
"JL_COMMS POV 2_ Productizing JL Social.pptx","JL Internal","Agency","2024","strategy","JL Social productization POV"
"Mass Mutual_ Marathon Master Deck-10.04 (1).pptx","MassMutual","Financial Services","2024","master_deck","Marathon campaign master deck"
"OM_BacOff Influencer Recommendations.pptx","Oscar Mayer","Food/CPG","2024","influencer","BacOff influencer recommendations"
"OM_Meatifying Beauty _ Organic Influencers.pptx","Oscar Mayer","Food/CPG","2024","influencer","Meatifying Beauty organic influencers"
"OM_Meatifying Beauty Influencer Brief - Jessica and Andres.pptx","Oscar Mayer","Food/CPG","2024","influencer_brief","Meatifying Beauty influencer brief"
"OM_Summer Of Oscar IAT Refinements_05.18.22.pptx","Oscar Mayer","Food/CPG","2022","campaign","Summer of Oscar IAT refinements"
"OM_W500 Full Content Plan.pptx","Oscar Mayer","Food/CPG","2024","content_plan","W500 full content plan"
"Philly_[INT AS PRESENTED] Really Philly Good Launch Plan 010726.pptx","Philadelphia Cream Cheese","Food/CPG","2026","launch_plan","Really Philly Good launch plan"
"Roblox_Creative R1 - Dec.19.pptx","Roblox","Gaming/Technology","2024","creative","Creative Round 1"
"Roblox_Creator Updates 12_8_.pptx","Roblox","Gaming/Technology","2024","creator_updates","Creator updates"
"Uber_Airport Dad Lounge _ Influencer Deck (8_22).pptx","Uber","Transportation","2024","influencer","Airport Dad Lounge influencer deck"
"Uber_EXT_Uber Teen Accounts_Creative 8_15.pptx","Uber","Transportation","2024","creative","Uber Teen Accounts creative"
"Uber_for Teens_Creative Presentation 8.2_EXT_.pptx","Uber","Transportation","2024","creative_presentation","Uber for Teens creative presentation"
